Gender,Height,Weight
Male,73.847017017515,241.893563180437
Male,68.7819040458903,162.3104725213
Male,74.1101053917849,212.7408555565
Male,71.7309784033377,220.042470303077
Male,69.8817958611153,206.349800623871
Male,67.2530156878065,152.212155757083
Male,68.7850812516616,183.927888604031
Male,68.3485155115879,167.971110489509
Male,67.018949662883,175.92944039571
Male,63.4564939783664,156.399676387112
Male,71.1953822829745,186.604925560358
Male,71.6408051192206,213.741169489411
Male,64.7663291334055,167.127461073476
Male,69.2830700967204,189.446181386738
Male,69.2437322298112,186.434168021239
Male,67.6456197004212,172.186930058117
Male,72.4183166259878,196.028506330482
Male,63.974325721061,172.88347020878
Male,69.6400598997523,185.98395757313
Male,67.9360048540095,182.426648013226
